"","non_treatment_1","non_treatment_2","non_treatment_3","control_1","control_2","control_3","siSOX10_1","siSOX10_2","siSOX10_3","siSOX10_control_1","siSOX10_control_2","siSOX10_control_3"
"ENSG00000290825.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223972.6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000310526.1",3,16,13,20,16,0,6,11,2,7,22,6
"ENSG00000227232.6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278267.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243485.6",0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000284332.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613.3",0,0,0,0,0,0,0,2,0,0,1,0
"ENSG00000308361.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000290826.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268020.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092.7",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241860.8",2,1,6,5,1,0,0,3,3,1,2,2
"ENSG00000239945.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000308314.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233750.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000308579.1",0,0,0,2,0,0,0,1,0,0,0,0
"ENSG00000268903.1",0,0,1,0,0,0,1,0,0,0,0,0
"ENSG00000269981.1",0,0,4,2,0,0,0,0,0,3,0,1
"ENSG00000239906.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000310528.1",0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000222623.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241599.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000308415.1",0,1,0,4,0,0,3,0,0,1,0,6
"ENSG00000310527.1",12,3,7,35,11,11,13,12,7,13,20,12
"ENSG00000279928.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279457.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273874.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000308625.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000308544.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000292994.2",13,9,12,19,8,10,13,8,8,10,17,11
"ENSG00000228463.11",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000306775.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000286448.2",0,0,0,0,4,2,0,0,0,0,0,0
"ENSG00000236679.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236601.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000290385.2",0,2,4,9,0,2,3,4,0,4,3,6
"ENSG00000269732.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284733.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237094.13",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233653.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250575.1",0,0,0,0,0,0,0,0,0,0,1,1
"ENSG00000278757.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000293331.2",0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000225880.7",37,38,45,71,32,54,114,82,55,50,50,55
"ENSG00000235146.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225972.1",4,2,7,3,4,2,0,4,5,0,3,11
"ENSG00000225630.1",7,10,18,21,16,7,13,9,9,19,17,28
"ENSG00000237973.1",151,130,374,310,265,315,212,309,187,157,307,359
"ENSG00000278791.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229344.1",43,56,150,139,134,156,71,94,63,90,155,157
"ENSG00000240409.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000248527.1",446,428,878,1027,832,766,463,598,383,599,628,781
"ENSG00000198744.5",108,147,221,234,183,202,81,120,73,143,237,286
"ENSG00000268663.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284662.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230021.11",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229376.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223181.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229905.1",0,0,0,0,0,0,1,1,0,0,0,1
"ENSG00000228327.6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237491.11",8,2,8,11,18,8,40,44,7,26,36,15
"ENSG00000285268.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230092.8",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177757.3",0,0,0,0,5,0,0,3,0,0,0,5
"ENSG00000228794.13",255,98,203,153,133,140,159,154,182,154,176,302
"ENSG00000297178.1",0,0,0,0,0,2,0,0,0,0,0,0
"ENSG00000297224.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230368.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234711.1",0,1,2,0,1,0,0,0,0,0,0,0
"ENSG00000283040.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000296088.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272438.2",2,0,7,1,2,0,0,0,1,6,14,5
"ENSG00000298603.1",0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000223764.3",0,0,0,0,0,0,2,0,0,10,8,10
"ENSG00000187634.14",4,2,0,2,14,3,6,4,3,31,23,26
"ENSG00000188976.12",2933,2051,3027,2606,3306,2937,3529,3175,2722,3736,2822,4044
"ENSG00000187961.16",152,121,217,313,347,185,251,251,126,350,286,271
"ENSG00000187583.12",10,5,15,29,4,17,16,13,1,32,23,25
"ENSG00000187642.11",0,0,6,0,8,6,2,3,4,1,1,8
"ENSG00000303599.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272512.1",0,0,0,0,0,0,0,0,1,0,1,0
"ENSG00000188290.12",284,258,333,411,398,485,363,414,330,525,491,607
"ENSG00000303623.1",9,9,22,17,22,22,20,14,6,18,18,18
"ENSG00000187608.11",323,294,343,502,466,367,291,228,207,420,398,564
"ENSG00000303614.1",0,0,0,1,0,0,1,2,0,0,2,2
"ENSG00000231702.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224969.1",0,0,0,8,0,0,1,5,0,1,0,0
"ENSG00000188157.16",213,189,227,291,236,357,615,629,424,509,416,645
"ENSG00000242590.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000291156.2",154,94,101,181,187,133,176,138,137,251,241,365
"ENSG00000273443.2",5,2,8,13,6,13,3,1,7,7,8,8
"ENSG00000217801.13",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000304119.1",0,0,0,2,2,0,5,0,0,1,9,0
"ENSG00000304169.1",0,0,2,0,0,0,0,0,1,2,0,0
"ENSG00000237330.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131591.19",369,346,482,403,478,374,688,742,488,714,573,724
"ENSG00000285812.1",1,0,0,0,2,2,1,10,1,2,4,1
"ENSG00000299943.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223823.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000304965.1",0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000207730.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207607.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198976.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272141.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000205231.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162571.15",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186891.14",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186827.12",0,0,4,0,0,0,1,0,0,8,4,0
"ENSG00000078808.21",5821,5045,6975,6380,6712,7749,10349,10079,8996,8201,6262,8213
"ENSG00000176022.7",1275,883,1241,1354,1404,868,1283,1261,1199,1686,1263,1607
"ENSG00000184163.3",2,1,5,4,2,18,102,56,28,20,30,19
"ENSG00000260179.1",0,2,1,0,0,0,4,0,0,0,0,0
"ENSG00000160087.22",1302,1155,1591,1447,1477,1273,1964,1640,1196,2029,1522,2002
"ENSG00000230415.2",2,1,1,4,10,1,4,8,5,4,4,2
"ENSG00000162572.21",20,7,18,28,28,1,45,38,0,54,40,18
"ENSG00000131584.20",489,324,671,682,705,613,557,614,332,540,625,457
"ENSG00000278073.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169972.14",749,559,949,806,817,988,790,750,546,649,479,775
"ENSG00000127054.23",2731,1983,2875,2598,2564,2698,2495,2484,1882,2264,1770,2348
"ENSG00000283712.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240731.1",3,1,11,4,0,1,4,6,2,3,12,3
"ENSG00000224051.8",444,349,539,548,524,617,526,494,356,584,508,726
"ENSG00000169962.5",0,0,0,0,1,0,3,9,0,0,0,0
"ENSG00000107404.22",211,210,333,275,342,366,365,403,319,355,310,568
"ENSG00000284372.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000304860.1",0,0,0,0,0,0,0,3,0,0,0,0
"ENSG00000162576.18",37,24,15,47,57,13,95,38,39,103,95,47
"ENSG00000175756.15",3840,2968,4398,4394,4376,5310,4011,3752,3661,4132,3427,5078
"ENSG00000223663.2",0,0,0,0,1,0,0,4,0,2,4,0
"ENSG00000221978.14",2365,1119,2056,3687,3682,1442,3723,3342,1120,2654,2921,1564
"ENSG00000224870.10",650,453,632,640,617,496,662,796,445,598,610,626
"ENSG00000242485.7",1487,1152,1324,1526,1653,1343,1108,1071,1009,1258,881,1079
"ENSG00000264293.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000301639.1",8,5,3,6,11,4,7,19,10,12,11,14
"ENSG00000272455.1",20,10,11,44,36,18,58,40,31,35,33,50
"ENSG00000235098.10",0,0,0,0,0,0,0,9,0,4,1,0
"ENSG00000225905.2",0,0,3,0,0,0,0,0,0,0,0,0
"ENSG00000205116.4",0,0,1,0,0,0,1,0,0,0,0,0
"ENSG00000225285.2",10,18,1,32,15,4,8,3,0,4,11,2
"ENSG00000179403.13",3,13,12,20,20,22,58,44,17,33,29,8
"ENSG00000215915.10",5,0,1,2,0,2,0,0,0,1,0,0
"ENSG00000160072.21",409,238,244,687,645,257,811,800,180,558,678,310
"ENSG00000290916.2",0,0,3,2,0,0,3,0,0,0,0,0
"ENSG00000284740.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000197785.15",1248,923,1542,1330,1571,1719,1794,1840,1494,1723,1316,1971
"ENSG00000205090.10",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000299413.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000160075.13",3730,3005,4031,3831,3982,4705,3854,3590,3482,4063,3268,4402
"ENSG00000215014.5",10,13,5,13,16,0,10,14,2,15,12,3
"ENSG00000274481.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228594.4",1201,917,1369,1231,1117,1001,642,642,513,1217,1048,1896
"ENSG00000286989.2",17,36,42,48,34,13,28,22,5,22,27,22
"ENSG00000272106.1",43,24,99,80,89,78,199,184,78,105,112,172
"ENSG00000197530.14",596,559,767,741,740,615,1061,926,543,1051,1027,865
"ENSG00000189409.15",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000248333.10",163,165,311,278,248,251,386,424,396,403,306,357
"ENSG00000272004.2",0,2,0,2,4,0,4,0,0,0,3,0
"ENSG00000189339.13",754,440,808,753,790,597,1085,1196,730,1067,958,801
"ENSG00000293187.1",3,4,1,2,5,7,1,8,3,5,13,16
"ENSG00000269737.3",6,0,0,3,2,2,11,9,2,10,2,4
"ENSG00000310190.1",9,15,12,11,17,5,7,9,16,10,4,12
"ENSG00000310238.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215914.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008128.24",6,13,19,27,11,17,54,38,12,32,13,16
"ENSG00000268575.1",40,26,58,30,38,38,80,62,40,68,56,80
"ENSG00000293188.2",336,170,348,259,275,237,322,450,293,401,348,274
"ENSG00000290854.2",37,35,54,35,46,35,54,49,35,45,38,52
"ENSG00000215790.9",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227775.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008130.16",1229,858,1483,1239,1329,1623,1491,1458,1456,1062,1094,1462
"ENSG00000302550.1",0,0,0,0,1,0,0,0,0,1,0,0
"ENSG00000078369.20",6437,4658,8156,5548,6294,7754,7006,7496,8545,7702,6042,11277
"ENSG00000231050.4",5,5,8,15,13,1,4,3,14,0,10,0
"ENSG00000303984.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000294910.1",0,0,0,6,5,3,3,1,0,1,13,2
