"","non_treatment_1","non_treatment_2","non_treatment_3","control_1","control_2","control_3","siSOX10_1","siSOX10_2","siSOX10_3","siSOX10_control_1","siSOX10_control_2","siSOX10_control_3"
"ENSG00000310526.1",3.01024484010251,21.151904642426,11.5831779769072,18.9829566495468,15.2315111706866,0,5.7147415445985,9.95889354590666,2.27042379503265,6.11872199065068,23.3521969956116,5.43295215953598
"ENSG00000310527.1",12.04097936041,3.96598212045487,6.23709583371926,33.220174136707,10.4716639298471,10.8228332763608,12.3819400132968,10.8642475046255,7.94648328261429,11.3633408397798,21.2292699960106,10.865904319072
"ENSG00000292994.2",13.0443943071109,11.8979463613646,10.6921642863759,18.0338088170695,7.61575558534332,9.83893934214621,12.3819400132968,7.2428316697503,9.08169518013061,8.74103141521525,18.044879496609,9.96041229248264
"ENSG00000225880.7",37.126353027931,50.2357735257617,40.0956160739095,67.3894961058913,30.4630223413733,53.1302724475896,108.580089347372,74.2390246149406,62.436654363398,43.7051570760763,53.0731749900264,49.8020614624132
"ENSG00000225630.1",7.02390462690586,13.2199404015162,16.0382464295638,19.9321044820242,15.2315111706866,6.88725753950235,12.3819400132968,8.14818562846909,10.2169070776469,16.607959688909,18.044879496609,25.3537767445013
"ENSG00000237973.1",151.515656951826,171.859225219711,333.239120258715,294.235828067976,252.271903764498,309.926589277606,201.920867909147,279.754373244105,212.284624835553,137.234193218879,325.869294438762,325.07163754557
"ENSG00000229344.1",43.146842708136,74.0316662484909,133.652053579698,131.931548714351,127.563906054501,153.487453737481,67.6244416110823,85.103272119566,71.5183495435286,78.6692827369373,164.526842469082,142.162248174525
"ENSG00000248527.1",447.523066228573,565.813449184895,782.310020286502,974.77482395423,792.038580875706,753.6627536084,440.987555858185,541.401667313835,434.786156748753,523.587781771394,666.599077874731,707.189272766267
"ENSG00000198744.5",108.36881424369,194.333123902289,196.914025607422,222.100592799698,174.210409014728,198.746574711354,77.1490108520798,108.642475046255,82.8704685186918,124.996749237578,251.566849452725,258.970719604549
"ENSG00000237491.11",8.0273195736067,2.64398808030325,7.12810952425058,10.4406261572508,17.1354500670225,7.87115147371697,38.09827696399,39.8355741836267,7.94648328261429,22.7266816795597,38.212685992819,13.58238039884
"ENSG00000228794.13",255.870811408713,129.555415934859,180.875779177859,145.219618369033,126.611936606333,137.745150790047,151.44065093186,139.424509642693,206.608565347971,134.611883794315,186.817575964893,273.458592029978
"ENSG00000187634.14",4.01365978680335,2.64398808030325,0,1.89829566495468,13.3275722743508,2.95168180264386,5.7147415445985,3.62141583487515,3.40563569254898,27.0971973871673,24.4136604954121,23.5427926913226
"ENSG00000188976.12",2943.01603867355,2711.40977635098,2697.09844123831,2473.47925143595,3147.21099564313,2889.69648478834,3361.22048514802,2874.49881893215,3090.04678503944,3265.64933672442,2995.44999643709,3661.80975552725
"ENSG00000187961.16",152.519071898527,159.961278858346,193.349970845297,297.083271565408,330.333398514267,182.020377829705,239.066687949037,227.243843638416,143.036699087057,305.936099532534,303.578560942951,245.388339205709
"ENSG00000187583.12",10.0341494670084,6.60997020075811,13.3652053579698,27.5252871418429,3.80787779267166,16.7261968816486,15.239310785596,11.7696014633442,1.13521189751633,27.9713005286888,24.4136604954121,22.6373006647333
"ENSG00000188290.12",284.969844863038,341.074462359119,296.707558946931,390.099759148188,378.88384037083,477.188558094091,345.74186344821,374.816538909578,374.619926180388,458.904149298801,521.178578402059,549.633660139724
"ENSG00000303623.1",9.03073452030753,11.8979463613646,19.6023011916891,16.1355131521148,20.9433278596941,21.6456665527217,19.049138481995,12.674955422063,6.81127138509796,15.7338565473875,19.1063429964095,16.298856478608
