"","non_treatment_1","non_treatment_2","non_treatment_3","control_1","control_2","control_3","siSOX10_1","siSOX10_2","siSOX10_3","siSOX10_control_1","siSOX10_control_2","siSOX10_control_3"
"ENSG00000310526.1",6.93104061942052,7.33328045310875,7.16642693065056,7.29964108005268,7.23633312910725,6.68453643212977,7.02380964048353,7.13165265326235,6.89868067298633,7.03553981324424,7.3656038610447,7.01537664834662
"ENSG00000310527.1",7.1757682877516,6.96737046538822,7.03890202669497,7.49377012296777,7.14292537105515,7.15048301824946,7.18260743128349,7.15136596995944,7.08425180551285,7.1618737814268,7.33444616544775,7.15140125731757
"ENSG00000292994.2",7.19562350851378,7.17286964018398,7.14768573853084,7.28428950090027,7.07589716839116,7.1289729747902,7.18260743128349,7.06625184843241,7.11165661432737,7.1036261146502,7.28447095532922,7.13168647461161
"ENSG00000225880.7",7.53875144226749,7.67329751126181,7.57125438299088,7.82254635012389,7.46028087321622,7.70029182634761,8.10831770116037,7.87603717715716,7.78190329483545,7.60904756009867,7.69976735122199,7.66917896712057
"ENSG00000225630.1",7.0604714997535,7.19901526362659,7.2505775120596,7.31459693129389,7.23633312910725,7.0568170648396,7.18260743128349,7.08926032010082,7.13736103175369,7.26041411375484,7.28447095532922,7.39364056147807
"ENSG00000237973.1",8.34272156530468,8.43919569035894,9.01835527862411,8.90030133108508,8.76018894365081,8.94906618611243,8.56902820785809,8.85363147198264,8.61080735233609,8.26996011112662,8.99683879881083,8.99448901568644
"ENSG00000229344.1",7.60331644215778,7.87446045387219,8.25097106459395,8.2417377879739,8.21795752136462,8.35242187391191,7.82443140535435,7.95532760512279,7.85514388833591,7.90913442763907,8.40531343947232,8.29558402189766
"ENSG00000248527.1",9.31429692637544,9.56523011748988,9.9325141625933,10.194095663549,9.94696363248989,9.88908507184774,9.29900426634983,9.51704155777893,9.28433358271362,9.48078968757396,9.74822061650331,9.81565312615063
"ENSG00000198744.5",8.10703420828286,8.53752671256893,8.54833163419541,8.64913607077173,8.44986201702473,8.55594681947819,7.89790136350788,8.10869640459952,7.93953547315467,8.2037444523113,8.75770070399468,8.7835937154509
"ENSG00000237491.11",7.08626676023158,6.91559243064611,7.0632340853893,7.14225118945424,7.26936659713812,7.08236463576736,7.5495409889326,7.56846124684944,7.08425180551285,7.35658394356388,7.55080120722726,7.20594531689404
"ENSG00000228794.13",8.77281575328948,8.22886217983426,8.47960060950906,8.31120175471476,8.21270772531921,8.27264339377157,8.34235099276417,8.28141889054351,8.58809865570715,8.25608997866667,8.50551374684021,8.83281082046995
"ENSG00000187634.14",6.96905999657525,6.91559243064611,6.68453643212977,6.88037583964404,7.20108336359662,6.92863678530846,7.02380964048353,6.9548424407939,6.94668852009026,7.41712102483223,7.38062345438353,7.36832688920987
"ENSG00000188976.12",11.6190149650207,11.5085366501821,11.5014236231859,11.3854548496756,11.7098473026198,11.5943220081176,11.7992701191454,11.5872055042595,11.684991021798,11.7600207004508,11.6428916188688,11.9161750273776
"ENSG00000187961.16",8.34766784779576,8.38372297569655,8.53338581805697,8.90928586198869,9.0099133718664,8.48463522275257,8.7127668801967,8.66876427376402,8.30007231793064,8.93683409448527,8.92955392874072,8.73568757907981
