"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04512","ECM-receptor interaction",65,0.63044905256558,2.21088795704936,6.07552126795117e-07,0.000210820587997906,0.000193777152019916,1508,"tags=40%, list=10%, signal=36%","9899/7450/948/7057/3693/1288/22801/3676/3696/158326/3655/284217/3680/10319/1282/1286/1284/3685/1291/3339/3673/7058/1292/3911/2335/1299"
"hsa04612","Antigen processing and presentation",49,0.581515738302217,1.94937824805327,0.000278612186730383,0.0268720380737922,0.0246996133364448,2986,"tags=55%, list=20%, signal=44%","1520/3117/3127/3106/3823/6891/3105/55080/3109/3119/3123/6890/3326/3822/567/3308/821/3312/3122/3309/2923/4261/3115/811/972/1508/3134"
"hsa04080","Neuroactive ligand-receptor interaction",111,-0.489135237084288,-1.714299957963,0.000384508001655068,0.0268720380737922,0.0246996133364448,1375,"tags=27%, list=9%, signal=25%","4157/5724/4828/3362/79924/10203/3269/5031/2831/1813/1268/344838/5732/80763/90226/8862/4922/719/55584/3363/1909/2150/7425/5739/3001/51083/134/3352/1081/2567"
"hsa04820","Cytoskeleton in muscle cells",163,0.399968395395747,1.63350353316345,0.000310641967929972,0.0268720380737922,0.0246996133364448,2278,"tags=31%, list=15%, signal=27%","6442/1281/7057/1634/633/3693/1288/84676/8082/22801/3676/3696/482/3655/284217/1462/4621/3680/1282/1286/1284/3685/255631/1291/25777/3339/3673/7273/287/7058/3930/1292/1730/1829/2335/481/23224/1299/9672/23353/83660/476/57159/29767/27295/4811/4628/2273/2027/1302/88"
"hsa04518","Integrin signaling",120,0.41878177896632,1.62270566978108,0.000387205159564729,0.0268720380737922,0.0246996133364448,2108,"tags=33%, list=14%, signal=29%","7450/7057/7412/8503/3693/1288/22801/5290/3676/3696/158326/80310/998/3655/284217/3680/10319/1282/1286/3480/1284/3685/3987/1291/3673/7058/1292/3911/5296/2335/1950/1299/83660/1499/3913/341640/5291/3383/2316/2475"
"hsa04974","Protein digestion and absorption",49,0.540380847332788,1.81148436761254,0.001591842103887,0.0689286683725458,0.0633562460697145,2228,"tags=45%, list=15%, signal=38%","1281/1288/1310/482/84570/1282/80781/1286/1284/255631/4311/1291/1296/7373/1292/481/1299/476/1307/6546/1302/54407"
"hsa05412","Arrhythmogenic right ventricular cardiomyopathy",58,0.511265764968948,1.76814670482255,0.00133331170201476,0.0689286683725458,0.0633562460697145,2452,"tags=38%, list=16%, signal=32%","6442/776/3693/8082/22801/3676/3696/781/3655/284217/3680/3685/1000/3673/1495/1829/1499/6934/6546/6262/88/3675"
"hsa04060","Cytokine-cytokine receptor interaction",114,-0.473757650788717,-1.65681228384868,0.00141846181487707,0.0689286683725458,0.0633562460697145,1110,"tags=26%, list=7%, signal=25%","4804/2826/163702/3589/3606/8744/3552/58985/3627/10148/7046/85480/3576/51330/3604/2921/3575/2920/83729/2919/3976/3553/3569/9235/51561/6364/9966/90865/3624/1436"
"hsa04142","Lysosome",123,0.405370433917301,1.5884358422741,0.00178777526038303,0.0689286683725458,0.0633562460697145,4197,"tags=46%, list=28%, signal=34%","1510/1519/1520/9741/54/3425/1203/950/4126/2629/3482/6448/1075/6272/410/3373/2588/8722/23062/10717/3073/4669/23335/1509/411/1513/55353/2548/22901/79158/27074/3074/175/4668/1213/23659/9516/51606/1508/537/1200/3920/1777/3988/2717/256471/427/4125/6609/5660/4074/2581/84572/8218/8763/164/5641"
"hsa05410","Hypertrophic cardiomyopathy",64,0.481081793575943,1.6843710500903,0.00262867903269084,0.0912151624343723,0.0838410259900343,1185,"tags=25%, list=8%, signal=23%","6442/53632/776/3693/8082/22801/3676/3696/781/3655/284217/3680/5571/3685/3673/7273"
